Date,ZT_Open,ZT_High,ZT_Low,ZT_Close,ZT_Volume,DGS2
2017-03-03,108.3046875,108.328125,108.265625,108.3203125,24574.0,1.32
2017-03-06,108.3359375,108.359375,108.296875,108.3203125,13490.0,1.31
2017-03-07,108.3203125,108.3359375,108.2734375,108.2890625,6960.0,1.32
2017-03-08,108.2734375,108.2734375,108.203125,108.2421875,3775.0,1.36
2017-03-09,108.21875,108.234375,108.2109375,108.234375,4988.0,1.37
2017-03-10,108.2265625,108.2578125,108.2109375,108.25,5086.0,1.36
2017-03-13,108.2578125,108.28125,108.2265625,108.2421875,4417.0,1.4
2017-03-14,108.2265625,108.25,108.2265625,108.234375,2799.0,1.4
2017-03-15,108.234375,108.3671875,108.1953125,108.3515625,2951.0,1.33
2017-03-16,108.3671875,108.375,108.3046875,108.3203125,3806.0,1.35
2017-03-17,108.3359375,108.3515625,108.328125,108.328125,1175.0,1.33
2017-03-20,108.3203125,108.3671875,108.3125,108.3671875,650.0,1.3
2017-03-21,108.3671875,108.4140625,108.3359375,108.40625,348.0,1.27
2017-03-22,108.46875,108.46875,108.453125,108.453125,169.0,1.27
2017-03-23,108.4609375,108.4765625,108.4296875,108.46875,1449.0,1.26
2017-03-24,108.4921875,108.4921875,108.4921875,108.4921875,965.0,1.26
2017-03-27,108.5703125,108.5703125,108.4609375,108.4609375,1881.0,1.27
2017-03-28,108.5,108.5,108.40625,108.40625,45.0,1.3
2017-03-29,108.4453125,108.4453125,108.4453125,108.4453125,26.0,1.26
2017-03-30,108.4765625,108.484375,108.4296875,108.4296875,26.0,1.28
2017-03-31,108.46875,108.46875,108.46875,108.46875,348260.0,1.27
2017-04-03,108.2421875,108.3046875,108.1953125,108.2734375,330130.0,1.24
2017-04-04,108.2890625,108.296875,108.2421875,108.2578125,301658.0,1.25
2017-04-05,108.2421875,108.3046875,108.203125,108.2578125,349486.0,1.24
2017-04-06,108.2890625,108.3046875,108.234375,108.265625,213700.0,1.24
2017-04-07,108.265625,108.390625,108.171875,108.1875,403914.0,1.29
2017-04-10,108.1796875,108.2421875,108.15625,108.2109375,191717.0,1.29
2017-04-11,108.2109375,108.328125,108.2109375,108.3046875,206657.0,1.24
2017-04-12,108.3046875,108.3828125,108.265625,108.3046875,218157.0,1.24
2017-04-13,108.375,108.390625,108.3125,108.3671875,217596.0,1.21
2017-04-14,,,,,,
2017-04-17,108.390625,108.4375,108.359375,108.375,211232.0,1.21
2017-04-18,108.375,108.4765625,108.3671875,108.453125,285976.0,1.18
2017-04-19,108.46875,108.46875,108.40625,108.453125,325351.0,1.19
2017-04-20,108.4375,108.453125,108.3828125,108.40625,255324.0,1.21
2017-04-21,108.4296875,108.46875,108.40625,108.4375,277194.0,1.2
2017-04-24,108.3359375,108.3515625,108.2421875,108.34375,269597.0,1.25
2017-04-25,108.3359375,108.34375,108.25,108.265625,264708.0,1.29
2017-04-26,108.265625,108.3125,108.2421875,108.296875,228584.0,1.28
2017-04-27,108.296875,108.3359375,108.28125,108.328125,176561.0,1.25
2017-04-28,108.3203125,108.34375,108.2578125,108.3046875,301089.0,1.28
2017-05-01,108.3046875,108.3203125,108.265625,108.2734375,158558.0,1.28
